unified_id,platform,show_id,original_title,original_year
UT00180,amazon,s1466,Nurse Edith Cavell,1939
UT00181,amazon,s1516,Navy Secrets,1939
UT00182,amazon,s1537,Mystery Of Mr. Wong,1939
UT00183,amazon,s1695,Meet Dr. Christian,1939
UT00184,amazon,s2275,Gulliver's Travels (Edited),1939
UT00185,amazon,s2418,Frontier Pony Express,1939
UT00186,amazon,s2450,Flying Deuces,1939
UT00187,amazon,s2481,Fighting Mad (1939),1939
UT00188,amazon,s2986,Boys' Reformatory,1939
UT00189,amazon,s3693,Arrest Bulldog Drummond,1939
UT00190,amazon,s3703,Wuthering Heights,1939
UT00191,amazon,s3806,"Nancy Drew, Reporter",1939
UT00192,amazon,s3808,Mr. Wong In Chinatown,1939
UT00193,amazon,s6159,Gulliver's Travels,1939
UT00194,amazon,s7044,Blondie Brings Up Baby,1939
UT00195,disney,s574,Donald's Dog Laundry,1940
UT00196,disney,s884,Fantasia,1940
UT00197,disney,s1095,Mr. Duck Steps Out,1940
UT00198,disney,s1096,Mr. Mouse Takes a Trip,1940
UT00199,disney,s1130,Pinocchio,1940
UT00200,disney,s1228,Swiss Family Robinson,1940
UT00201,disney,s1393,Tugboat Mickey,1940
UT00202,amazon,s311,Tom Brown's School Days,1940
UT00203,amazon,s666,The Fatal Hour,1940
UT00204,amazon,s710,The Courageous Dr. Christian,1940
UT00205,amazon,s881,Straight Shooter,1940
UT00206,amazon,s945,Son of the Navy,1940
UT00207,amazon,s946,Son of Monte Cristo,1940
UT00208,amazon,s1208,Ranger And The Lady,1940
UT00209,amazon,s1232,Queen of the Yukon,1940
UT00210,amazon,s1406,Our Town,1940
UT00211,amazon,s2607,Dreaming Out Loud,1940
UT00212,amazon,s2626,Doomed To Die,1940
UT00213,amazon,s4754,The House Across The Bay,1940
UT00214,amazon,s4786,Eternally Yours,1940
UT00215,amazon,s6620,The Westerner,1940
UT00216,amazon,s6642,His Girl Friday,1940
UT00217,amazon,s9664,Pride Of The Bowery,1940
UT00218,disney,s776,Canine Caddy,1941
UT00219,disney,s789,Chef Donald,1941
UT00220,disney,s872,Early to Bed,1941
UT00221,disney,s1014,Lend a Paw,1941
UT00222,disney,s1250,The Art of Skiing,1941
UT00223,disney,s1301,The Little Whirlwind,1941
UT00224,disney,s1326,The Reluctant Dragon,1941
UT00225,amazon,s23,Zis Boom Bah,1941
UT00226,amazon,s369,They Meet Again,1941
UT00227,amazon,s560,The Little Foxes,1941
UT00228,amazon,s587,The Kid's Last Ride,1941
UT00229,amazon,s782,That Uncertain Feeling,1941
